Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,0.015880,0.015907,0.015759,0.015835,0.015835,0
2019-07-29,0.015835,0.015835,0.015294,0.015552,0.015552,0
2019-08-05,0.015332,0.015425,0.015130,0.015366,0.015366,0
2019-08-12,0.015313,0.015414,0.015020,0.015139,0.015139,0
2019-08-19,0.015070,0.015282,0.014915,0.015260,0.015260,0
2019-08-26,0.015094,0.015191,0.014939,0.015040,0.015040,0
2019-09-02,0.014983,0.015250,0.014909,0.015113,0.015113,0
2019-09-09,0.015207,0.015596,0.015203,0.015548,0.015548,0
2019-09-16,0.015649,0.015711,0.015502,0.015630,0.015630,0
2019-09-23,0.015637,0.015722,0.015463,0.015573,0.015573,0
2019-09-30,0.015475,0.015503,0.015257,0.015367,0.015367,0
2019-10-07,0.015464,0.015628,0.015307,0.015530,0.015530,0
2019-10-14,0.015575,0.015690,0.015507,0.015609,0.015609,0
2019-10-21,0.015652,0.015739,0.015599,0.015646,0.015646,0
2019-10-28,0.015669,0.015787,0.015595,0.015747,0.015747,0
2019-11-04,0.015772,0.015835,0.015639,0.015673,0.015673,0
2019-11-11,0.015678,0.015704,0.015516,0.015651,0.015651,0
2019-11-18,0.015693,0.015726,0.015602,0.015670,0.015670,0
2019-11-25,0.015679,0.015696,0.015549,0.015611,0.015611,0
2019-12-02,0.015554,0.015732,0.015509,0.015705,0.015705,0
2019-12-09,0.015709,0.016094,0.015676,0.015955,0.015955,0
2019-12-16,0.015922,0.016133,0.015912,0.016046,0.016046,0
2019-12-23,0.016014,0.016258,0.016014,0.016083,0.016083,0
2019-12-30,0.016122,0.016244,0.016057,0.016209,0.016209,0
2020-01-06,0.016125,0.016428,0.016045,0.016322,0.016322,0
2020-01-13,0.016364,0.016430,0.016198,0.016240,0.016240,0
2020-01-20,0.016249,0.016295,0.016067,0.016157,0.016157,0
2020-01-27,0.016075,0.016089,0.015633,0.015824,0.015824,0
2020-02-03,0.015644,0.015988,0.015572,0.015805,0.015805,0
2020-02-10,0.015612,0.015894,0.015556,0.015715,0.015715,0
2020-02-17,0.015755,0.015828,0.015494,0.015594,0.015594,0
2020-02-24,0.015615,0.015615,0.014791,0.015090,0.015090,0
2020-03-02,0.014953,0.015305,0.014593,0.014593,0.014593,0
2020-03-09,0.013890,0.014161,0.013258,0.013351,0.013351,0
2020-03-16,0.013660,0.013730,0.012184,0.012664,0.012664,0
2020-03-23,0.012544,0.012992,0.012294,0.012913,0.012913,0
2020-03-30,0.012700,0.013091,0.012441,0.012970,0.012970,0
2020-04-06,0.012972,0.013754,0.012966,0.013466,0.013466,0
2020-04-13,0.013578,0.013750,0.013302,0.013478,0.013478,0
2020-04-20,0.013502,0.013519,0.012882,0.013413,0.013413,0
2020-04-27,0.013406,0.013772,0.013200,0.013272,0.013272,0
2020-05-04,0.013257,0.013681,0.013171,0.013630,0.013630,0
2020-05-11,0.013624,0.013707,0.013429,0.013604,0.013604,0
2020-05-18,0.013588,0.014165,0.013587,0.014103,0.014103,0
2020-05-25,0.013971,0.014265,0.013925,0.014183,0.014183,0
2020-06-01,0.014246,0.014661,0.014228,0.014564,0.014564,0
2020-06-08,0.014675,0.014700,0.014250,0.014272,0.014272,0
2020-06-15,0.014375,0.014460,0.014189,0.014302,0.014302,0
2020-06-22,0.014359,0.014590,0.014294,0.014481,0.014481,0
2020-06-29,0.014340,0.014369,0.013964,0.014167,0.014167,0
2020-07-06,0.014018,0.014187,0.013835,0.014135,0.014135,0
2020-07-13,0.014145,0.014183,0.013895,0.013977,0.013977,0
2020-07-20,0.013925,0.014169,0.013875,0.014024,0.014024,0
2020-07-27,0.013935,0.014004,0.013431,0.013639,0.013639,0
2020-08-03,0.013484,0.013773,0.013417,0.013668,0.013668,0
2020-08-10,0.013566,0.013762,0.013517,0.013715,0.013715,0
2020-08-17,0.013707,0.013742,0.013335,0.013538,0.013538,0
2020-08-24,0.013390,0.013517,0.013161,0.013336,0.013336,0
2020-08-31,0.013499,0.013635,0.013194,0.013281,0.013281,0
2020-09-07,0.013277,0.013394,0.013064,0.013308,0.013308,0
2020-09-14,0.013357,0.013407,0.013204,0.013341,0.013341,0
2020-09-21,0.013252,0.013263,0.012742,0.012983,0.012983,0
2020-09-28,0.012803,0.012990,0.012510,0.012952,0.012952,0
2020-10-05,0.012798,0.013045,0.012682,0.012940,0.012940,0
2020-10-12,0.013014,0.013057,0.012754,0.012834,0.012834,0
2020-10-19,0.012900,0.013143,0.012801,0.013065,0.013065,0
2020-10-26,0.013111,0.013159,0.012567,0.012684,0.012684,0
2020-11-02,0.012584,0.013030,0.012362,0.013006,0.013006,0
2020-11-09,0.012909,0.013203,0.012872,0.012974,0.012974,0
2020-11-16,0.012913,0.013239,0.012913,0.013129,0.013129,0
2020-11-23,0.013118,0.013278,0.013071,0.013219,0.013219,0
2020-11-30,0.013161,0.013559,0.013068,0.013425,0.013425,0
2020-12-07,0.013496,0.013722,0.013424,0.013684,0.013684,0
2020-12-14,0.013681,0.013765,0.013491,0.013682,0.013682,0
2020-12-21,0.013625,0.013625,0.013161,0.013508,0.013508,0
2020-12-28,0.013490,0.013630,0.013291,0.013530,0.013530,0
2021-01-04,0.013451,0.013691,0.013303,0.013406,0.013406,0
2021-01-11,0.013448,0.013678,0.013337,0.013638,0.013638,0
2021-01-18,0.013582,0.013668,0.013273,0.013523,0.013523,0
2021-01-25,0.013267,0.013404,0.013076,0.013172,0.013172,0
2021-02-01,0.013184,0.013420,0.013105,0.013247,0.013247,0
2021-02-08,0.013391,0.013601,0.013378,0.013584,0.013584,0
2021-02-15,0.013596,0.013677,0.013482,0.013544,0.013544,0
2021-02-22,0.013501,0.013644,0.013327,0.013386,0.013386,0
2021-03-01,0.013432,0.013639,0.013377,0.013413,0.013413,0
2021-03-08,0.013485,0.013670,0.013362,0.013643,0.013643,0
2021-03-15,0.013630,0.013789,0.013439,0.013455,0.013455,0
2021-03-22,0.013447,0.013480,0.013001,0.013138,0.013138,0
2021-03-29,0.013216,0.013294,0.013076,0.013112,0.013112,0
2021-04-05,0.013088,0.013158,0.012819,0.012921,0.012921,0
2021-04-12,0.012922,0.013277,0.012865,0.013144,0.013144,0
2021-04-19,0.013166,0.013395,0.012970,0.013244,0.013244,0
2021-04-26,0.013353,0.013481,0.013260,0.013382,0.013382,0
2021-05-03,0.013298,0.013605,0.013184,0.013479,0.013479,0
2021-05-10,0.013577,0.013601,0.013396,0.013514,0.013514,0
2021-05-17,0.013521,0.013636,0.013496,0.013611,0.013611,0
2021-05-24,0.013584,0.013686,0.013544,0.013617,0.013617,0
2021-05-31,0.013659,0.013747,0.013569,0.013658,0.013658,0
2021-06-07,0.013702,0.013978,0.013691,0.013939,0.013939,0
2021-06-14,0.013876,0.013960,0.013728,0.013814,0.013814,0
2021-06-21,0.013745,0.013887,0.013640,0.013832,0.013832,0
2021-06-28,0.013852,0.013871,0.013559,0.013613,0.013613,0
2021-07-05,0.013661,0.013670,0.013273,0.013385,0.013385,0
2021-07-12,0.013474,0.013536,0.013375,0.013447,0.013447,0
2021-07-19,0.013502,0.013609,0.013376,0.013577,0.013577,0
2021-07-26,0.013572,0.013733,0.013471,0.013670,0.013670,0
2021-08-02,0.013679,0.013763,0.013589,0.013676,0.013676,0
2021-08-09,0.013605,0.013674,0.013490,0.013598,0.013598,0
2021-08-16,0.013660,0.013663,0.013410,0.013463,0.013463,0
2021-08-23,0.013479,0.013658,0.013433,0.013465,0.013465,0
2021-08-30,0.013626,0.013783,0.013574,0.013697,0.013697,0
2021-09-06,0.013741,0.013762,0.013602,0.013725,0.013725,0
2021-09-13,0.013680,0.013844,0.013666,0.013798,0.013798,0
2021-09-20,0.013725,0.013797,0.013590,0.013760,0.013760,0
2021-09-27,0.013761,0.013815,0.013655,0.013752,0.013752,0
2021-10-04,0.013747,0.013963,0.013702,0.013931,0.013931,0
2021-10-11,0.013937,0.014110,0.013872,0.014012,0.014012,0
2021-10-18,0.014081,0.014300,0.014012,0.014061,0.014061,0
2021-10-25,0.014214,0.014448,0.014089,0.014257,0.014257,0
2021-11-01,0.014111,0.014139,0.013845,0.014004,0.014004,0
2021-11-08,0.014059,0.014183,0.013666,0.013974,0.013974,0
2021-11-15,0.013759,0.013884,0.013577,0.013686,0.013686,0
